Temp,Pres,Dens
305.7,6.6665,649.2
305.78,6.678,647.75
305.86,6.6895,646.28
305.94,6.701,644.8
306.02,6.7125,643.3
306.09,6.724,641.78
306.17,6.7355,640.24
306.25,6.747,638.68
306.33,6.7585,637.1
306.41,6.77,635.49
306.49,6.7815,633.86
306.57,6.793,632.21
306.64,6.8045,630.53
306.72,6.816,628.82
306.8,6.8275,627.09
306.88,6.839,625.32
306.95,6.8505,623.53
307.03,6.862,621.7
307.11,6.8735,619.84
307.19,6.885,617.94
307.26,6.8965,616
307.34,6.908,614.02
307.42,6.9195,612
307.49,6.931,609.94
307.57,6.9425,607.82
307.65,6.954,605.65
307.72,6.9655,603.43
307.8,6.977,601.14
307.87,6.9885,598.8
307.95,7,596.38
